"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User login with wrong email or password","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Courses","Courses","",""
"","0","User login with correct email and password","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Authorization","Authentication","",""
"","0","Registration with correct email, username and password","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Registration","Authentication","",""
"","0","User login with wrong email or password","LMS system","Fri May 01 14:53:01 UTC 2026","broken","Fri May 01 14:53:01 UTC 2026","Authorization","Authentication","",""
"","0","Navigation from login page to registration page","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Fri May 01 14:53:02 UTC 2026","broken","Fri May 01 14:53:02 UTC 2026","Courses","Courses","",""
"","0","Check displaying of dashboard page","LMS system","Fri May 01 14:53:03 UTC 2026","broken","Fri May 01 14:53:03 UTC 2026","Dashboard","Dashboard","",""
"","0","Edit course","LMS system","Fri May 01 14:53:03 UTC 2026","broken","Fri May 01 14:53:03 UTC 2026","Courses","Courses","",""
"","0","User login with wrong email or password","LMS system","Fri May 01 14:53:01 UTC 2026","broken","Fri May 01 14:53:01 UTC 2026","Authorization","Authentication","",""
